jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1043,  3151,  completed,  eof,  2017-09-25 02:52:50,  2017-09-25 02:53:15,  25,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_272.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  272,  14,  None,  3,  0.05005,  None,  0.05015,  103.724789618,  32.0302345085, 
1043,  3162,  completed,  eof,  2017-09-25 02:52:50,  2017-09-25 02:53:05,  15,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  22,  12,  None,  1,  0.0001,  None,  0.1,  136.119102247,  42.0336043304, 
1043,  3163,  completed,  eof,  2017-09-25 02:53:05,  2017-09-25 02:53:34,  29,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|value:n_521.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  521,  16,  None,  5,  0.1,  None,  0.0003,  103.797344899,  32.0526395929, 
1043,  3164,  completed,  eof,  2017-09-25 02:53:15,  2017-09-25 02:53:36,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  None,  147,  13,  None,  2,  0.025075,  None,  0.075075,  102.617881333,  31.6884210222, 
1043,  3165,  completed,  eof,  2017-09-25 02:53:34,  2017-09-25 02:53:58,  24,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_396.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  None,  396,  15,  None,  4,  0.075025,  None,  0.025225,  107.435990956,  33.1762541785, 
1043,  3166,  completed,  eof,  2017-09-25 02:53:36,  2017-09-25 02:53:55,  19,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_185.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0347673257778.modelParams|spParams|synPermInactiveDec_0.0801133922224,  2500,  10,  None,  185,  13,  None,  2,  0.0347673257778,  None,  0.0801133922224,  104.181477315,  32.1712597551, 
1043,  3167,  completed,  eof,  2017-09-25 02:53:55,  2017-09-25 02:54:15,  20,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_158.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0153826742222.modelParams|spParams|synPermInactiveDec_0.0700366077776,  2500,  10,  None,  158,  13,  None,  2,  0.0153826742222,  None,  0.0700366077776,  96.9787397296,  29.9470530363, 
1043,  3168,  completed,  eof,  2017-09-25 02:53:58,  2017-09-25 02:54:19,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_213.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0341719773334.modelParams|spParams|synPermInactiveDec_0.0802201766672,  2500,  10,  None,  213,  13,  None,  3,  0.0341719773334,  None,  0.0802201766672,  96.9576889213,  29.9405525427, 
1043,  3169,  completed,  eof,  2017-09-25 02:54:15,  2017-09-25 02:54:32,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_132.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0122106176345.modelParams|spParams|synPermInactiveDec_0.0750108149608,  2500,  10,  None,  132,  13,  None,  2,  0.0122106176345,  None,  0.0750108149608,  103.460067816,  31.9484883664, 
1043,  3170,  completed,  eof,  2017-09-25 02:54:19,  2017-09-25 02:54:41,  22,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_209.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0368606592743.modelParams|spParams|synPermInactiveDec_0.0853229826733,  2500,  10,  None,  209,  13,  None,  3,  0.0368606592743,  None,  0.0853229826733,  109.2391308,  33.7330641007, 
1043,  3171,  completed,  eof,  2017-09-25 02:54:33,  2017-09-25 02:54:54,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_208.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0341646267917.modelParams|spParams|synPermInactiveDec_0.0810634614835,  2500,  10,  None,  208,  13,  None,  3,  0.0341646267917,  None,  0.0810634614835,  105.262111091,  32.504959668, 
1043,  3172,  completed,  eof,  2017-09-25 02:54:41,  2017-09-25 02:55:02,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_241.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0344587328619.modelParams|spParams|synPermInactiveDec_0.0727511429897,  2500,  10,  None,  241,  14,  None,  3,  0.0344587328619,  None,  0.0727511429897,  100.998089625,  31.1882290388, 
1043,  3173,  completed,  eof,  2017-09-25 02:54:54,  2017-09-25 02:55:13,  19,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_136.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0177149716668.modelParams|spParams|synPermInactiveDec_0.1,  2500,  10,  None,  136,  12,  None,  2,  0.0177149716668,  None,  0.1,  104.203189404,  32.177964452, 
1043,  3174,  completed,  eof,  2017-09-25 02:55:02,  2017-09-25 02:55:23,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_203.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0299410176187.modelParams|spParams|synPermInactiveDec_0.080229529797,  2500,  10,  None,  203,  13,  None,  3,  0.0299410176187,  None,  0.080229529797,  98.246997924,  30.3386914048, 
1043,  3175,  completed,  eof,  2017-09-25 02:55:13,  2017-09-25 02:55:34,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_208.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0343796873956.modelParams|spParams|synPermInactiveDec_0.0819001748802,  2500,  10,  None,  208,  13,  None,  3,  0.0343796873956,  None,  0.0819001748802,  105.881972355,  32.6963729427, 
1043,  3176,  completed,  killed,  2017-09-25 02:55:23,  2017-09-25 02:55:34,  11,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_233.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.0378672332875.modelParams|spParams|synPermInactiveDec_0.0735973096112,  1250,  10,  None,  233,  13,  None,  4,  0.0378672332875,  None,  0.0735973096112,  113.52111365,  33.9960930182, 
1043,  3177,  completed,  eof,  2017-09-25 02:55:34,  2017-09-25 02:55:52,  18,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  188,  14,  None,  3,  0.05005,  3.5,  0.05015,  117.049110435,  36.1447872784, 
1043,  3178,  completed,  eof,  2017-09-25 02:55:34,  2017-09-25 02:55:56,  22,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  188,  14,  6.25,  3,  0.05005,  None,  0.05015,  119.733013155,  36.9735769423, 
1043,  3179,  completed,  eof,  2017-09-25 02:55:52,  2017-09-25 02:56:11,  19,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  1,  188,  14,  None,  3,  0.05005,  None,  0.05015,  114.141512462,  35.2469204784, 
1043,  3180,  completed,  eof,  2017-09-25 02:55:56,  2017-09-25 02:56:19,  23,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_160.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  160,  12,  None,  1,  0.0001,  1.0,  0.1,  68.227,  21.0685104097, 
1043,  3181,  completed,  eof,  2017-09-25 02:56:11,  2017-09-25 02:56:33,  22,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_160.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  160,  12,  0.5,  1,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3182,  completed,  eof,  2017-09-25 02:56:19,  2017-09-25 02:56:38,  19,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_160.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  160,  12,  None,  1,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3183,  completed,  eof,  2017-09-25 02:56:33,  2017-09-25 02:56:48,  15,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|value:n_143.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  143,  16,  None,  5,  0.1,  6.0,  0.0003,  155.16580253,  47.9152289537, 
1043,  3184,  completed,  eof,  2017-09-25 02:56:38,  2017-09-25 02:56:52,  14,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|value:n_143.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  143,  16,  12.0,  5,  0.1,  None,  0.0003,  159.168348999,  49.1512160548, 
1043,  3185,  completed,  eof,  2017-09-25 02:56:48,  2017-09-25 02:57:03,  15,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_143.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  1,  143,  16,  None,  5,  0.1,  None,  0.0003,  147.298834138,  45.4859076373, 
1043,  3186,  completed,  eof,  2017-09-25 02:56:52,  2017-09-25 02:57:08,  16,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_137.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  None,  137,  13,  None,  2,  0.025075,  4.75,  0.075075,  118.265370484,  36.52036861, 
1043,  3187,  completed,  eof,  2017-09-25 02:57:03,  2017-09-25 02:57:25,  22,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_137.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  None,  137,  13,  9.125,  2,  0.025075,  None,  0.075075,  131.920621416,  40.7371126616, 
1043,  3188,  completed,  eof,  2017-09-25 02:57:08,  2017-09-25 02:57:25,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_137.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  1,  137,  13,  None,  2,  0.025075,  None,  0.075075,  106.54838866,  32.9021624227, 
1043,  3189,  completed,  eof,  2017-09-25 02:57:25,  2017-09-25 02:57:46,  21,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.25.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  None,  188,  15,  None,  4,  0.075025,  2.25,  0.025225,  126.102847458,  38.9405829708, 
1043,  3190,  completed,  eof,  2017-09-25 02:57:25,  2017-09-25 02:57:46,  21,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.375.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  None,  188,  15,  3.375,  4,  0.075025,  None,  0.025225,  131.822520007,  40.706818928, 
1043,  3191,  completed,  eof,  2017-09-25 02:57:46,  2017-09-25 02:58:03,  17,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  1,  188,  15,  None,  4,  0.075025,  None,  0.025225,  123.97953098,  38.284902444, 
1043,  3192,  completed,  eof,  2017-09-25 02:57:46,  2017-09-25 02:58:07,  21,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_157.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0144896515556.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.2446447119.modelParams|spParams|synPermInactiveDec_0.0989798227547,  2500,  9,  None,  157,  12,  None,  2,  0.0144896515556,  1.2446447119,  0.0989798227547,  100.814572409,  31.1315588878, 
1043,  3193,  completed,  eof,  2017-09-25 02:58:03,  2017-09-25 02:58:23,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_157.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.02504068495.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.00498800134369.modelParams|spParams|synPermInactiveDec_0.0989798227547,  2500,  9,  None,  157,  12,  2.02504068495,  2,  0.00498800134369,  None,  0.0989798227547,  86.6359693113,  26.7532035893, 
1043,  3194,  completed,  eof,  2017-09-25 02:58:07,  2017-09-25 02:58:25,  18,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_151.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0107166132634.modelParams|spParams|synPermInactiveDec_0.0955441272355,  2500,  9,  1,  151,  12,  None,  1,  0.0107166132634,  None,  0.0955441272355,  100.532580102,  31.0444796106, 
1043,  3195,  completed,  eof,  2017-09-25 02:58:23,  2017-09-25 02:58:45,  22,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.modelParams|spParams|synPermInactiveDec_0.095015,  2500,  9,  None,  147,  12,  None,  1,  0.0001,  1,  0.095015,  68.227,  21.0685104097, 
1043,  3196,  completed,  eof,  2017-09-25 02:58:25,  2017-09-25 02:58:45,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.095015,  2500,  9,  None,  147,  12,  1.075,  1,  0.0001,  None,  0.095015,  68.227,  21.0685104097, 
1043,  3197,  completed,  eof,  2017-09-25 02:58:45,  2017-09-25 02:59:04,  19,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.095015,  2500,  9,  1,  147,  12,  None,  1,  0.0001,  None,  0.095015,  68.227,  21.0685104097, 
1043,  3198,  completed,  eof,  2017-09-25 02:58:45,  2017-09-25 02:59:07,  22,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_141.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0138943031113.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.23928942379.modelParams|spParams|synPermInactiveDec_0.0929746455094,  2500,  9,  None,  141,  12,  None,  2,  0.0138943031113,  1.23928942379,  0.0929746455094,  96.1214033222,  29.6823073927, 
