jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1043,  3199,  completed,  eof,  2017-09-25 02:59:04,  2017-09-25 02:59:25,  21,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_141.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.9750813699.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0929746455094,  2500,  9,  None,  141,  12,  2.9750813699,  2,  0.0001,  None,  0.0929746455094,  68.227,  21.0685104097, 
1043,  3200,  completed,  eof,  2017-09-25 02:59:07,  2017-09-25 02:59:25,  18,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_144.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00634822652685.modelParams|spParams|synPermInactiveDec_0.086103254471,  2500,  9,  1,  144,  12,  None,  1,  0.00634822652685,  None,  0.086103254471,  88.1439665305,  27.2188734137, 
1043,  3201,  completed,  eof,  2017-09-25 02:59:25,  2017-09-25 02:59:46,  21,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_139.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.24196706784.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  139,  12,  None,  1,  0.0001,  1.24196706784,  0.1,  68.227,  21.0685104097, 
1043,  3202,  completed,  eof,  2017-09-25 02:59:25,  2017-09-25 02:59:46,  21,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_122.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.41619839734.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.095803365792,  2500,  9,  None,  122,  12,  3.41619839734,  2,  0.0001,  None,  0.095803365792,  68.2162103647,  21.0651785682, 
1043,  3203,  completed,  eof,  2017-09-25 02:59:46,  2017-09-25 03:00:04,  18,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_144.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  144,  12,  None,  1,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3204,  completed,  eof,  2017-09-25 02:59:46,  2017-09-25 03:00:07,  21,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_157.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.00919697733344.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.24732235595.modelParams|spParams|synPermInactiveDec_0.095977234132,  2500,  9,  None,  157,  12,  None,  2,  0.00919697733344,  1.24732235595,  0.095977234132,  89.3411323518,  27.5885584441, 
1043,  3205,  completed,  eof,  2017-09-25 03:00:04,  2017-09-25 03:00:25,  21,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_123.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.9843914141.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0922861472109,  2500,  9,  None,  123,  12,  3.9843914141,  2,  0.0001,  None,  0.0922861472109,  68.279871222,  21.0848370529, 
1043,  3206,  completed,  eof,  2017-09-25 03:00:07,  2017-09-25 03:00:26,  19,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_151.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00353741989514.modelParams|spParams|synPermInactiveDec_0.0908236908532,  2500,  9,  1,  151,  12,  None,  1,  0.00353741989514,  None,  0.0908236908532,  86.5828635168,  26.73680451, 
1043,  3207,  completed,  eof,  2017-09-25 03:00:25,  2017-09-25 03:00:45,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_118.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.13010527711.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  118,  12,  2.13010527711,  1,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3208,  completed,  eof,  2017-09-25 03:00:26,  2017-09-25 03:00:46,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_125.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.00682481497.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0954723735353,  2500,  9,  None,  125,  12,  3.00682481497,  2,  0.0001,  None,  0.0954723735353,  68.2296188695,  21.0693191171, 
1043,  3209,  completed,  eof,  2017-09-25 03:00:45,  2017-09-25 03:01:05,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_123.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.08708541409.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  123,  12,  1.08708541409,  1,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3210,  completed,  eof,  2017-09-25 03:00:46,  2017-09-25 03:01:06,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_118.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.98899799667.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  118,  12,  1.98899799667,  2,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3211,  completed,  eof,  2017-09-25 03:01:05,  2017-09-25 03:01:25,  20,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_106.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.66242563918.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  106,  12,  3.66242563918,  2,  0.0001,  None,  0.1,  69.1035537172,  21.3391903621, 
1043,  3212,  completed,  killed,  2017-09-25 03:01:06,  2017-09-25 03:01:25,  19,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_112.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.22997049514.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0986623256845,  2400,  9,  None,  112,  12,  3.22997049514,  2,  0.0001,  None,  0.0986623256845,  69.3681728232,  20.5890984495, 
1043,  3213,  completed,  eof,  2017-09-25 03:01:25,  2017-09-25 03:01:49,  24,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  188,  14,  6.25,  3,  0.05005,  3.5,  0.05015,  126.099356329,  38.9395049095, 
1043,  3214,  completed,  eof,  2017-09-25 03:01:25,  2017-09-25 03:01:48,  23,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  1,  188,  14,  6.25,  3,  0.05005,  None,  0.05015,  120.629174169,  37.2503116316, 
1043,  3215,  completed,  eof,  2017-09-25 03:01:48,  2017-09-25 03:02:11,  23,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_188.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  188,  12,  0.5,  1,  0.0001,  1.0,  0.1,  68.227,  21.0685104097, 
1043,  3216,  completed,  eof,  2017-09-25 03:01:49,  2017-09-25 03:02:15,  26,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_160.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  160,  12,  0.5,  1,  0.0001,  None,  0.1,  68.227,  21.0685104097, 
1043,  3217,  completed,  eof,  2017-09-25 03:02:11,  2017-09-25 03:02:26,  15,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|value:n_164.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  164,  16,  12.0,  5,  0.1,  6.0,  0.0003,  170.088476202,  52.5233533855, 
1043,  3218,  completed,  eof,  2017-09-25 03:02:15,  2017-09-25 03:02:30,  15,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_137.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  1,  137,  16,  12.0,  5,  0.1,  None,  0.0003,  165.601009206,  51.1376227346, 
1043,  3219,  completed,  eof,  2017-09-25 03:02:26,  2017-09-25 03:02:50,  24,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_212.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  None,  212,  13,  9.125,  2,  0.025075,  4.75,  0.075075,  105.857417837,  32.6887905029, 
1043,  3220,  completed,  eof,  2017-09-25 03:02:30,  2017-09-25 03:02:53,  23,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_184.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  1,  184,  13,  9.125,  2,  0.025075,  None,  0.075075,  112.523778452,  34.7473639124, 
1043,  3221,  completed,  eof,  2017-09-25 03:02:50,  2017-09-25 03:03:14,  24,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_166.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.375.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.25.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  None,  166,  15,  3.375,  4,  0.075025,  2.25,  0.025225,  115.418131625,  35.6411407156, 
1043,  3222,  completed,  eof,  2017-09-25 03:02:53,  2017-09-25 03:03:15,  22,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_142.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.375.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  1,  142,  15,  3.375,  4,  0.075025,  None,  0.025225,  128.522919984,  39.6879018214, 
1043,  3223,  completed,  eof,  2017-09-25 03:03:14,  2017-09-25 03:03:36,  22,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_182.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.02504068495.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.00498800134369.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.55116234931.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  182,  12,  2.02504068495,  2,  0.00498800134369,  1.55116234931,  0.1,  86.1356070718,  26.5986916358, 
1043,  3224,  completed,  eof,  2017-09-25 03:03:15,  2017-09-25 03:03:39,  24,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_151.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.25457981472.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0145548113257.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  151,  12,  1.25457981472,  1,  0.0145548113257,  None,  0.1,  107.230229555,  33.112715019, 
1043,  3225,  completed,  eof,  2017-09-25 03:03:36,  2017-09-25 03:03:59,  23,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_182.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.modelParams|spParams|synPermInactiveDec_0.095015,  2500,  9,  None,  182,  12,  1.075,  1,  0.0001,  1,  0.095015,  68.227,  21.0685104097, 
1043,  3226,  completed,  eof,  2017-09-25 03:03:39,  2017-09-25 03:04:05,  26,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.095015,  2500,  9,  1,  147,  12,  1.075,  1,  0.0001,  None,  0.095015,  68.227,  21.0685104097, 
1043,  3227,  completed,  eof,  2017-09-25 03:03:59,  2017-09-25 03:04:23,  24,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_173.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.9750813699.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.85232469863.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  173,  12,  2.9750813699,  2,  0.0001,  1.85232469863,  0.1,  68.227,  21.0685104097, 
1043,  3228,  completed,  eof,  2017-09-25 03:04:05,  2017-09-25 03:04:29,  24,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_143.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.43415962945.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0140246226514.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  143,  12,  1.43415962945,  2,  0.0140246226514,  None,  0.1,  113.798257934,  35.1409234157, 
1043,  3229,  completed,  eof,  2017-09-25 03:04:23,  2017-09-25 03:04:45,  22,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_191.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.35006102743.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.20174352397.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  191,  12,  1.35006102743,  1,  0.0001,  1.20174352397,  0.1,  68.227,  21.0685104097, 
1043,  3230,  completed,  eof,  2017-09-25 03:04:29,  2017-09-25 03:04:54,  25,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_150.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0965093478447,  2500,  9,  1,  150,  12,  0.5,  1,  0.0001,  None,  0.0965093478447,  68.227,  21.0685104097, 
1043,  3231,  completed,  eof,  2017-09-25 03:04:45,  2017-09-25 03:05:09,  24,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_174.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.55002034248.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.40058117466.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  174,  12,  1.55002034248,  2,  0.0001,  1.40058117466,  0.1,  68.227,  21.0685104097, 
1043,  3232,  completed,  eof,  2017-09-25 03:04:54,  2017-09-25 03:05:19,  25,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_144.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.16478990736.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.00929471698857.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  144,  12,  1.16478990736,  2,  0.00929471698857,  None,  0.1,  97.3221419697,  30.0530957125, 
1043,  3233,  completed,  killed,  2017-09-25 03:05:09,  2017-09-25 03:05:19,  10,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_152.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  1050,  9,  1,  152,  12,  0.5,  1,  0.0001,  None,  0.1,  73.069,  23.7950090694, 
